#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2017-11-13T17:19:19 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5a09d332b64d	
#INFO	-out.max=unlimited	
#INFO	queryParameters=14	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:J/ApJ/835/74&tab:{J/ApJ/835/74/table1}&key:source=J/ApJ/835/74&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/835/74/table1
#-order=I
#-out=Seq
#-out=Name
#-out=z
#NED=NED
#

#RESOURCE=yCat_18350074
#Name: J/ApJ/835/74
#Title: IR photometry of AGNs in Swift/BAT 70 month cat. (Ichikawa+, 2017)
#Table	J_ApJ_835_74_table1:
#Name: J/ApJ/835/74/table1
#Title: IR and 14-195keV X-ray properties of the Swift/BAT 70-month AGN catalog
#Column	_RAJ2000	(F8.4)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F8.4)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Seq	(I4)	Sequence No. of the Swift/BAT 70 month catalog	[ucd=meta.id;meta.main]
#Column	Name	(a24)	Object name	[ucd=meta.id]
#Column	z	(F11.5)	[0.001/0.7]? Redshift	[ucd=src.redshift]
_RAJ2000	_DEJ2000	Seq	Name	z
deg	deg	 	 	
--------	--------	----	------------------------	-----------
000.3260	-77.0010	   2	Fairall 1203            	    0.05840
000.6640	+03.3320	   3	NGC 7811                	    0.02550
001.5800	+20.1780	   6	Mrk 335                 	    0.02580
002.3160	-00.5750	   7	2MASX J00091156-0036551 	    0.07330
005.3050	-19.1510	  10	2MASX J00210753-1910056 	    0.09560
006.7010	-53.1530	  14	2MASX J00264073-5309479 	    0.06290
007.3080	+13.3180	  16	[HB89] 0026+129         	    0.14200
007.6670	-59.0650	  17	ESO112-6                	    0.02900
008.6260	-79.0600	  19	2MASX J00341665-7905204 	    0.07400
008.6330	-04.4070	  20	2MASX J00343284-0424117 	    0.21300
009.0820	+45.6350	  22	CGCG 535-012            	    0.04760
009.6470	+23.5990	  24	Mrk 344                 	    0.02490
010.7090	-23.5510	  28	NGC 235A                	    0.02220
010.7460	+30.2590	  29	2MASX J00430184+3017195 	    0.05100
010.7460	+30.2590	  30	2MASX J00423991+3017515 	    0.14080
010.7500	-11.5690	  31	MCG -02-02-095          	    0.01890
011.5440	-40.0940	  32	ESP 39607               	    0.20130
012.8990	+29.4710	  34	MCG +05-03-013          	    0.03600
012.9650	+17.4250	  36	Mrk 1148                	    0.06400
013.7190	+25.4030	  39	[HB89] 0052+251         	    0.15500
014.9900	+31.8140	  43	Mrk 352                 	    0.01490
015.1930	-47.8780	  44	ESO 195-IG 021 NED03    	    0.04830
015.3620	-03.1500	  45	2MASX J01012440-0308399 	    0.06940
016.3690	-42.1670	  49	MCG -07-03-007          	    0.03020
016.4290	-47.0500	  50	ESO 243- G 026          	    0.01930
016.4310	-14.2370	  51	2MASX J01053882-1416133 	    0.06600
016.4430	-34.5710	  52	HE 0103-3447            	    0.05700
016.6890	+06.6680	  53	2MASX J01064523+0638015 	    0.04100
016.9430	-11.6220	  55	2MASX J01073963-1139117 	    0.04750
017.1850	+13.3600	  57	3C 033                  	    0.05970
017.8530	-38.1270	  58	NGC 424                 	    0.01180
018.4570	+13.2390	  60	Mrk 975                 	    0.04960
018.4870	-14.8350	  61	Mrk 1152                	    0.05270
018.5630	-32.6330	  62	IC 1657                 	    0.01200
018.5750	-55.4010	  63	NGC 454E                	    0.01210
020.5070	-28.2920	  69	[HB89] 0119-286         	    0.11600
020.6120	+50.0890	  70	MCG +08-03-018          	    0.02040
020.9440	-35.0710	  72	NGC 526A                	    0.01910
020.9470	-58.7850	  73	Fairall 9               	    0.04700
021.1100	+33.7750	  74	NGC 513                 	    0.01950
021.4730	+35.1710	  75	1RXS J012556.6+351039   	    0.31200
021.4890	+15.2750	  76	RHS 10                  	    0.11100
021.8770	+19.1730	  77	Mrk 359                 	    0.01740
022.0010	-18.8260	  78	MCG -03-04-072          	    0.04600
022.0980	+16.5020	  79	CGCG 459-058            	    0.03860
022.1920	-60.6530	  80	2MASX J01290761-6038423 	    0.20300
022.4300	-42.3240	  81	ESO 244-IG 030          	    0.02560
022.5390	-45.8430	  82	2MASX J01302127-4601448 	    0.11150
022.9800	-33.0710	  83	ESO 353- G 009          	    0.01650
023.4810	-36.5040	  84	NGC 612                 	    0.03050
023.6970	-04.5200	  85	2MASX J01344565-0430134 	    0.07900
024.6590	-39.9910	  87	ESO 297-018             	    0.02520
024.6770	+29.4400	  88	2MASX J01392400+2924067 	    0.07590
025.1610	-53.3440	  89	2MASX J01402676-5319389 	    0.07440
027.2910	+21.8580	  93	NGC 678                 	    0.00950
027.3840	-50.3390	  94	2MASX J01492228-5015073 	    0.03031
027.8880	-36.1960	  95	ESO 354- G 004          	    0.03350
028.2110	-03.4150	  96	MCG -01-05-047          	    0.01720
028.6520	-27.1410	  97	2MASSi J0154403-270701  	    0.15100
028.8410	+02.4860	  98	1ES 0152+022            	    0.08200
029.2600	+47.2720	  99	2MASX J01571097+4715588 	    0.04836
030.1220	+24.4760	 101	UGC 01479               	    0.01640
030.2620	-06.8060	 102	NGC 788                 	    0.01360
030.7540	-24.0330	 105	1RXS J020301.2-240213   	    0.17810
031.5540	-00.2790	 106	Mrk 1018                	    0.04240
031.7540	+29.5090	 107	3C 59                   	    0.10960
031.9800	+44.8220	 110	MCG +07-05-016          	    0.02170
032.1470	-17.6170	 111	NVSS J020834-173933     	    0.12900
032.7310	-49.7280	 114	ESO 197- G 027          	    0.04810
033.6570	-00.7770	 116	Mrk 590                 	    0.02640
033.7260	-64.5090	 117	2MASX J02143730-6430052 	    0.07400
